complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount,complaint_month
CP0036,C0282,O00751,Delay,App,Medium,2024-07-08 00:51:00,Awaitingcustomer,2,42.3,2024-07
CP0037,C0561,O00270,Missedpickup,Chatbot,Medium,2025-11-05 15:25:00,Awaitingcustomer,18,7.33,2025-11
CP0038,C0562,O00175,Delay,Chatbot,Medium,2025-12-19 19:13:00,Resolved,1,19.48,2025-12
CP0039,C0231,O00797,Delay,Email,High,2025-03-28 04:08:00,Resolved,14,24.39,2025-03
CP0040,C0512,O00300,Delay,Email,High,2024-04-11 00:39:00,Resolved,9,0.0,2024-04
CP0041,C0146,O00744,Missedpickup,Chatbot,Medium,2025-04-27 03:30:00,Open,9,30.4,2025-04
CP0042,C0361,O00094,Supportexperience,Email,Medium,2024-10-06 03:41:00,Resolved,4,26.2,2024-10
CP0043,C0497,O00411,Appissue,App,Medium,2025-04-16 21:05:00,Resolved,11,15.35,2025-04
CP0044,C0549,O00838,Missedpickup,Email,High,2025-01-28 00:04:00,Resolved,11,25.0,2025-01
CP0045,C0599,O00421,Driverbehaviour,Email,Medium,2025-07-24 06:00:00,Awaitingcustomer,6,8.74,2025-07
CP0046,C0269,O00573,Missedpickup,Email,High,2024-04-27 09:36:00,Resolved,9,60.3,2024-04
CP0047,C0012,O01157,Appissue,Phone,Medium,2024-07-09 19:51:00,Resolved,11,19.21,2024-07
CP0048,C0393,O00576,Missedpickup,Phone,High,2024-09-14 19:49:00,Resolved,22,22.5,2024-09
CP0049,C0146,O00126,Driverbehaviour,Email,Medium,2024-05-27 09:04:00,Resolved,4,19.76,2024-05
CP0050,C0163,O00955,Driverbehaviour,Phone,High,2025-01-11 14:30:00,Resolved,14,37.36,2025-01
CP0051,C0274,O00863,Appissue,Phone,Medium,2025-09-22 18:41:00,Resolved,2,3.9,2025-09
CP0052,C0157,O00115,Supportexperience,App,Low,2024-02-25 06:31:00,Escalated,3,0.0,2024-02
CP0053,C0543,O01236,Supportexperience,Phone,High,2025-05-29 22:57:00,Resolved,13,26.07,2025-05
CP0054,C0224,O00453,Delay,App,Medium,2024-12-07 12:49:00,Resolved,1,36.38,2024-12
CP0055,C0186,O00836,Missedpickup,Chatbot,High,2025-09-23 16:20:00,Resolved,14,60.3,2025-09
CP0056,C0368,O00737,Delay,Email,Low,2024-03-20 03:53:00,Open,9,7.02,2024-03
CP0057,C0191,O00125,Delay,App,Medium,2025-09-23 16:27:00,Resolved,5,24.91,2025-09
CP0058,C0271,O00056,Supportexperience,App,Medium,2025-10-09 20:28:00,Escalated,1,10.06,2025-10
CP0059,C0351,O00603,Delay,Email,High,2024-03-04 23:29:00,Resolved,11,59.75,2024-03
CP0060,C0490,O00869,Missedpickup,App,Low,2024-03-05 05:39:00,Resolved,4,0.0,2024-03
CP0061,C0545,O00980,Driverbehaviour,Phone,Medium,2024-12-07 23:02:00,Awaitingcustomer,11,52.16,2024-12
CP0062,C0162,O00367,Delay,Email,Low,2025-07-16 09:35:00,Resolved,14,0.0,2025-07
CP0063,C0164,O01219,Billing,App,High,2025-06-28 09:52:00,Escalated,10,51.86,2025-06
CP0064,C0215,O00311,Appissue,Chatbot,High,2024-11-30 00:06:00,Resolved,5,47.81,2024-11
CP0065,C0162,O00367,Appissue,Email,Low,2025-07-23 09:35:00,Resolved,5,18.74,2025-07
CP0066,C0552,O00741,Appissue,Email,Medium,2025-06-11 01:28:00,Resolved,10,25.09,2025-06
CP0067,C0599,O00954,Missedpickup,App,Low,2024-07-22 02:17:00,Resolved,6,0.0,2024-07
CP0068,C0166,O00743,Damage,App,Low,2024-02-13 01:34:00,Resolved,10,0.0,2024-02
CP0069,C0583,O00163,Delay,Chatbot,Medium,2025-06-20 18:36:00,Resolved,4,35.96,2025-06
CP0070,C0255,O00206,Delay,Phone,Medium,2025-12-20 14:25:00,Escalated,7,28.5,2025-12
CP0071,C0092,O00870,Delay,Chatbot,Medium,2024-11-05 14:16:00,Awaitingcustomer,10,17.48,2024-11
CP0072,C0495,O00581,Billing,App,Medium,2025-12-10 05:52:00,Open,9,20.18,2025-12
CP0073,C0331,O00073,Delay,App,Medium,2025-04-07 04:59:00,Awaitingcustomer,12,0.0,2025-04
CP0074,C0475,O00268,Delay,Chatbot,High,2024-01-30 06:20:00,Resolved,7,0.0,2024-01
CP0075,C0071,O00974,Delay,Phone,Low,2025-06-22 00:41:00,Resolved,1,7.08,2025-06
CP0076,C0028,O00290,Missedpickup,Chatbot,Low,2024-09-26 22:30:00,Open,15,0.0,2024-09
CP0077,C0573,O00031,Billing,Email,High,2024-11-02 03:17:00,Resolved,13,58.46,2024-11
CP0078,C0261,O01162,Appissue,Email,Low,2025-06-09 10:51:00,Awaitingcustomer,1,18.23,2025-06
CP0079,C0498,O00475,Delay,Chatbot,Medium,2024-11-11 06:08:00,Resolved,1,0.0,2024-11
CP0080,C0201,O00789,Driverbehaviour,App,Medium,2024-12-20 10:30:00,Resolved,6,18.79,2024-12
CP0081,C0051,O01085,Delay,App,Medium,2024-06-25 08:05:00,Open,1,19.53,2024-06
CP0082,C0578,O00515,Delay,App,Medium,2024-02-06 10:24:00,Escalated,7,10.81,2024-02
CP0083,C0586,O00098,Driverbehaviour,Email,Medium,2024-04-03 20:18:00,Escalated,5,3.16,2024-04
CP0084,C0647,O00272,Driverbehaviour,Chatbot,Medium,2024-12-16 05:03:00,Resolved,9,27.67,2024-12
CP0085,C0622,O00190,Delay,Phone,Low,2025-01-05 06:44:00,Escalated,17,18.19,2025-01
CP0086,C0627,O00496,Supportexperience,Phone,Medium,2024-06-25 15:14:00,Resolved,7,33.83,2024-06
CP0087,C0321,O01020,Missedpickup,Phone,Low,2024-11-03 02:18:00,Resolved,6,13.46,2024-11
CP0088,C0180,O00285,Driverbehaviour,Phone,High,2025-01-13 13:22:00,Resolved,10,14.63,2025-01
CP0089,C0296,O01224,Appissue,Email,Low,2024-06-12 12:40:00,Resolved,11,0.0,2024-06
CP0090,C0123,O00333,Missedpickup,Phone,Medium,2025-04-06 05:27:00,Resolved,6,24.95,2025-04
CP0091,C0331,O00652,Delay,Phone,Medium,2024-11-13 21:45:00,Resolved,4,0.0,2024-11
CP0092,C0031,O00263,Driverbehaviour,Email,High,2024-03-02 02:04:00,Escalated,12,46.65,2024-03
CP0093,C0436,O00832,Delay,App,Medium,2024-06-11 14:01:00,Resolved,2,16.98,2024-06
CP0094,C0426,O00400,Billing,Chatbot,Low,2025-07-01 06:33:00,Resolved,12,10.94,2025-07
CP0095,C0649,O01240,Appissue,Chatbot,High,2025-10-11 14:51:00,Resolved,12,34.13,2025-10
CP0096,C0001,O00007,Appissue,App,High,2024-05-12 21:32:00,Resolved,22,43.9,2024-05
CP0097,C0282,O01227,Driverbehaviour,App,Medium,2024-11-07 10:32:00,Escalated,15,27.94,2024-11
CP0098,C0482,O00335,Missedpickup,App,Medium,2024-01-31 03:09:00,Resolved,18,31.16,2024-01
CP0099,C0110,O00574,Appissue,Email,Medium,2024-05-04 02:42:00,Awaitingcustomer,14,11.53,2024-05
CP0100,C0078,O00476,Damage,Phone,High,2024-02-28 06:34:00,Awaitingcustomer,25,42.71,2024-02
CP0101,C0119,O00511,Driverbehaviour,Phone,Medium,2024-06-17 09:58:00,Resolved,8,0.0,2024-06
CP0102,C0095,O00843,Delay,Chatbot,Medium,2024-03-08 21:34:00,Resolved,6,14.27,2024-03
CP0103,C0378,O00443,Appissue,Chatbot,Low,2025-10-23 00:06:00,Resolved,11,11.6,2025-10
CP0104,C0257,O00602,Appissue,App,Medium,2025-12-15 09:57:00,Resolved,1,0.0,2025-12
CP0105,C0538,O00129,Missedpickup,Chatbot,Medium,2024-12-19 02:28:00,Resolved,10,30.85,2024-12
CP0106,C0595,O00145,Appissue,Chatbot,Medium,2024-11-10 10:33:00,Resolved,6,11.23,2024-11
CP0107,C0396,O01024,Delay,Email,High,2025-12-23 16:37:00,Escalated,7,33.22,2025-12
CP0108,C0595,O00561,Delay,Chatbot,Medium,2025-06-02 08:23:00,Resolved,1,13.57,2025-06
CP0109,C0626,O00314,Missedpickup,Email,High,2025-02-22 21:55:00,Resolved,9,34.05,2025-02
CP0110,C0564,O00950,Appissue,Phone,Medium,2025-05-29 02:25:00,Awaitingcustomer,8,12.12,2025-05
CP0111,C0051,O00112,Appissue,Chatbot,Medium,2024-09-17 07:03:00,Resolved,5,12.4,2024-09
CP0112,C0421,O00586,Missedpickup,App,High,2024-04-09 07:09:00,Awaitingcustomer,7,45.85,2024-04
CP0113,C0174,O00227,Missedpickup,App,Low,2025-08-13 20:06:00,Resolved,5,5.7,2025-08
CP0114,C0480,O01104,Missedpickup,Phone,Medium,2024-09-27 16:27:00,Open,5,0.0,2024-09
CP0115,C0369,O00709,Missedpickup,Phone,Medium,2025-12-14 03:49:00,Open,1,32.02,2025-12
CP0116,C0287,O00178,Damage,App,Low,2024-03-31 19:55:00,Escalated,3,18.49,2024-03
CP0117,C0560,O00831,Delay,Phone,High,2025-03-07 08:02:00,Resolved,11,35.62,2025-03
CP0118,C0272,O00541,Delay,Chatbot,Low,2024-11-11 02:46:00,Awaitingcustomer,3,10.75,2024-11
CP0119,C0142,O00795,Delay,Email,Medium,2025-06-22 13:49:00,Awaitingcustomer,12,0.0,2025-06
CP0120,C0558,O00005,Missedpickup,Phone,Medium,2025-02-25 19:32:00,Resolved,8,54.41,2025-02
CP0121,C0421,O00219,Billing,Phone,Medium,2024-06-05 23:42:00,Resolved,9,27.42,2024-06
CP0122,C0619,O00919,Appissue,Email,High,2025-02-09 07:06:00,Awaitingcustomer,9,35.13,2025-02
CP0123,C0361,O01222,Driverbehaviour,App,High,2025-09-20 01:14:00,Resolved,23,33.77,2025-09
CP0124,C0077,O00023,Supportexperience,Phone,Low,2025-10-16 04:59:00,Resolved,7,0.0,2025-10
CP0125,C0647,O01036,Appissue,App,Low,2024-03-06 19:43:00,Resolved,2,3.4,2024-03
CP0126,C0093,O00369,Delay,App,Medium,2024-10-04 12:27:00,Open,15,12.62,2024-10
CP0127,C0368,O00737,Appissue,App,Medium,2024-03-17 03:53:00,Resolved,6,1.15,2024-03
CP0128,C0142,O00795,Missedpickup,Email,Medium,2025-06-17 13:49:00,Escalated,6,16.5,2025-06
CP0129,C0476,O00686,Delay,Phone,Medium,2025-01-13 12:20:00,Resolved,4,21.23,2025-01
CP0130,C0581,O00618,Delay,Email,High,2025-11-27 10:42:00,Awaitingcustomer,12,24.38,2025-11
CP0131,C0583,O00452,Delay,Email,High,2025-12-09 09:35:00,Open,14,32.48,2025-12
CP0132,C0552,O00368,Appissue,Phone,High,2024-12-10 22:26:00,Resolved,6,41.06,2024-12
CP0133,C0480,O01104,Delay,App,High,2024-09-21 16:27:00,Open,15,38.76,2024-09
CP0134,C0325,O00167,Delay,Phone,Low,2024-04-29 20:46:00,Resolved,6,21.16,2024-04
CP0135,C0610,O00782,Delay,App,Medium,2024-04-28 01:47:00,Escalated,12,21.82,2024-04
CP0136,C0412,O00711,Delay,Chatbot,Low,2024-12-15 12:25:00,Resolved,3,0.0,2024-12
CP0137,C0549,O00838,Driverbehaviour,App,Medium,2025-02-04 00:04:00,Resolved,1,14.08,2025-02
CP0138,C0400,O00296,Damage,Phone,High,2024-01-18 17:30:00,Escalated,6,31.84,2024-01
CP0139,C0368,O00750,Supportexperience,Phone,High,2024-02-05 07:49:00,Resolved,16,46.47,2024-02
CP0140,C0177,O00062,Missedpickup,Email,High,2025-08-01 08:11:00,Resolved,11,61.45,2025-08
CP0141,C0591,O01046,Driverbehaviour,App,Medium,2026-01-07 11:24:00,Resolved,6,11.71,2026-01
CP0142,C0476,O00087,Appissue,Chatbot,Low,2024-11-19 14:07:00,Resolved,3,8.27,2024-11
CP0143,C0508,O00717,Supportexperience,Phone,Medium,2024-12-18 21:04:00,Open,3,16.43,2024-12
CP0144,C0078,O01121,Delay,Chatbot,High,2024-06-14 05:59:00,Resolved,10,58.9,2024-06
CP0145,C0436,O01065,Appissue,Email,Low,2024-07-25 11:49:00,Resolved,3,21.27,2024-07
CP0146,C0001,O00666,Delay,Phone,Medium,2025-09-01 20:17:00,Resolved,4,0.0,2025-09
CP0147,C0383,O01172,Driverbehaviour,Phone,High,2024-09-29 19:02:00,Open,15,33.52,2024-09
CP0148,C0189,O01232,Damage,Phone,Medium,2024-01-22 20:35:00,Escalated,9,11.0,2024-01
CP0149,C0550,O00425,Appissue,Phone,Medium,2024-11-27 08:15:00,Resolved,10,38.03,2024-11
CP0150,C0546,O00458,Damage,App,High,2025-04-18 01:52:00,Escalated,16,15.85,2025-04
CP0151,C0574,O00729,Missedpickup,Phone,Medium,2026-01-02 22:24:00,Resolved,1,0.0,2026-01
CP0152,C0023,O01101,Delay,App,Low,2024-01-16 06:59:00,Resolved,14,27.41,2024-01
CP0153,C0119,O00511,Driverbehaviour,Chatbot,Medium,2024-06-18 09:58:00,Resolved,8,20.06,2024-06
CP0154,C0630,O00282,Delay,App,Medium,2024-01-28 04:13:00,Open,7,0.0,2024-01
CP0155,C0613,O00999,Appissue,Email,Medium,2024-07-05 10:26:00,Escalated,6,18.06,2024-07
CP0156,C0372,O00943,Appissue,Chatbot,Medium,2025-05-01 08:55:00,Resolved,1,0.0,2025-05
CP0157,C0169,O00998,Appissue,App,Low,2024-12-06 01:26:00,Awaitingcustomer,2,31.26,2024-12
CP0158,C0110,O01131,Delay,App,Low,2024-08-20 14:20:00,Resolved,2,0.0,2024-08
CP0159,C0372,O00348,Delay,App,High,2025-03-16 22:06:00,Escalated,15,34.82,2025-03
CP0160,C0248,O01134,Delay,Phone,Medium,2025-04-12 23:59:00,Awaitingcustomer,9,25.69,2025-04
CP0161,C0107,O01080,Billing,Email,High,2025-05-01 10:04:00,Open,9,46.94,2025-05
CP0162,C0138,O00801,Missedpickup,Phone,Medium,2024-04-02 14:49:00,Awaitingcustomer,6,22.27,2024-04
CP0163,C0326,O00045,Billing,App,Medium,2024-02-19 18:38:00,Open,3,11.17,2024-02
CP0164,C0062,O00468,Delay,Chatbot,Medium,2024-04-01 10:24:00,Resolved,13,3.0,2024-04
CP0165,C0161,O00003,Appissue,Phone,Medium,2025-09-07 14:37:00,Open,2,8.66,2025-09
CP0166,C0465,O00910,Driverbehaviour,Phone,Medium,2025-08-01 03:46:00,Open,11,18.57,2025-08
CP0167,C0578,O00837,Damage,Chatbot,Low,2024-04-26 16:50:00,Resolved,1,11.75,2024-04
CP0168,C0628,O00752,Driverbehaviour,Email,Medium,2025-06-01 08:27:00,Resolved,10,30.4,2025-06
CP0169,C0419,O00879,Missedpickup,App,Medium,2025-07-08 00:21:00,Resolved,9,11.78,2025-07
CP0170,C0242,O00512,Driverbehaviour,App,High,2024-10-01 10:35:00,Resolved,16,54.34,2024-10
CP0171,C0020,O00880,Appissue,Phone,Medium,2024-08-30 17:56:00,Escalated,14,18.37,2024-08
CP0172,C0629,O00216,Delay,App,Low,2025-05-20 10:14:00,Resolved,11,0.0,2025-05
CP0173,C0212,O00544,Delay,App,Medium,2024-06-25 19:25:00,Resolved,3,52.43,2024-06
CP0174,C0116,O00594,Driverbehaviour,Chatbot,High,2024-03-16 19:40:00,Open,9,0.0,2024-03
CP0175,C0317,O00551,Damage,Phone,Low,2024-06-19 11:10:00,Escalated,11,11.99,2024-06
CP0176,C0073,O00309,Delay,Chatbot,Medium,2025-10-20 11:57:00,Resolved,6,36.04,2025-10
CP0177,C0046,O00839,Delay,Chatbot,Low,2024-02-09 17:41:00,Resolved,2,14.06,2024-02
CP0178,C0279,O01244,Delay,Phone,High,2025-03-14 06:32:00,Resolved,10,0.0,2025-03
CP0179,C0509,O00441,Appissue,App,Low,2025-04-12 12:25:00,Resolved,1,16.17,2025-04
CP0180,C0485,O00378,Damage,Chatbot,High,2024-04-07 19:50:00,Escalated,18,38.34,2024-04
CP0181,C0384,O00965,Supportexperience,Chatbot,Medium,2024-10-04 14:59:00,Open,3,31.97,2024-10
CP0182,C0012,O01157,Appissue,Phone,Low,2024-07-09 19:51:00,Open,12,15.45,2024-07
CP0183,C0122,O00259,Supportexperience,Chatbot,Medium,2025-09-13 09:55:00,Escalated,4,20.4,2025-09
CP0184,C0025,O00161,Missedpickup,Phone,Medium,2024-08-20 17:36:00,Open,3,19.47,2024-08
CP0185,C0100,O01151,Missedpickup,Email,Medium,2024-07-03 12:48:00,Resolved,6,5.59,2024-07
CP0186,C0391,O00817,Delay,App,Medium,2026-01-02 07:45:00,Awaitingcustomer,13,13.55,2026-01
CP0187,C0259,O00351,Delay,Email,Low,2024-04-27 03:31:00,Escalated,10,1.93,2024-04
CP0188,C0139,O00404,Billing,Phone,Low,2025-10-19 20:55:00,Resolved,7,8.19,2025-10
CP0189,C0517,O00166,Delay,Chatbot,Medium,2025-06-08 17:32:00,Resolved,9,19.84,2025-06
CP0190,C0138,O00801,Damage,App,Low,2024-03-31 14:49:00,Awaitingcustomer,6,7.16,2024-03
CP0191,C0358,O00840,Delay,Phone,Medium,2024-04-07 16:35:00,Open,11,14.02,2024-04
CP0192,C0032,O00440,Appissue,Email,Medium,2024-12-15 02:05:00,Resolved,2,18.72,2024-12
CP0193,C0612,O00467,Delay,Phone,Medium,2024-10-13 16:16:00,Awaitingcustomer,1,15.83,2024-10
CP0194,C0172,O00330,Missedpickup,App,Medium,2025-04-11 06:37:00,Resolved,1,6.47,2025-04
CP0195,C0110,O01131,Delay,Phone,High,2024-08-18 14:20:00,Open,8,32.61,2024-08
CP0196,C0505,O01135,Damage,Phone,Medium,2024-11-20 19:03:00,Resolved,12,22.87,2024-11
CP0197,C0611,O00128,Delay,Phone,Medium,2026-01-04 13:56:00,Awaitingcustomer,9,0.0,2026-01
CP0198,C0621,O00609,Delay,Phone,Medium,2024-09-17 07:15:00,Resolved,2,8.38,2024-09
CP0199,C0180,O01018,Driverbehaviour,App,High,2024-03-04 13:58:00,Awaitingcustomer,13,25.05,2024-03
CP0200,C0256,O00267,Driverbehaviour,Phone,Medium,2024-01-28 20:20:00,Awaitingcustomer,1,8.85,2024-01
CP0201,C0168,O00485,Delay,Chatbot,Medium,2024-12-01 01:17:00,Resolved,13,24.03,2024-12
CP0202,C0422,O00529,Missedpickup,Phone,Medium,2025-08-21 17:48:00,Resolved,7,6.73,2025-08
CP0203,C0279,O01030,Driverbehaviour,Phone,Medium,2025-09-10 08:36:00,Resolved,4,12.46,2025-09
CP0204,C0140,O00720,Delay,Chatbot,Medium,2024-08-30 18:27:00,Open,4,0.0,2024-08
CP0205,C0104,O01005,Missedpickup,App,Medium,2025-05-11 17:35:00,Awaitingcustomer,5,20.67,2025-05
CP0206,C0627,O01119,Driverbehaviour,App,Medium,2024-04-08 09:03:00,Resolved,1,13.45,2024-04
CP0207,C0173,O00792,Appissue,Email,Low,2025-02-08 06:22:00,Awaitingcustomer,12,0.0,2025-02
CP0208,C0510,O01125,Appissue,Phone,High,2025-06-26 11:43:00,Awaitingcustomer,20,26.22,2025-06
CP0209,C0447,O00171,Missedpickup,Email,Low,2025-05-08 02:08:00,Escalated,7,9.0,2025-05
CP0210,C0335,O00229,Missedpickup,Chatbot,Medium,2024-09-11 04:43:00,Resolved,10,28.12,2024-09
CP0211,C0191,O00125,Delay,App,Low,2025-09-18 16:27:00,Resolved,11,13.79,2025-09
CP0212,C0095,O01064,Missedpickup,App,Medium,2025-12-27 18:49:00,Resolved,3,19.18,2025-12
CP0213,C0368,O00629,Delay,Email,Medium,2024-10-11 05:44:00,Awaitingcustomer,3,22.87,2024-10
CP0214,C0145,O00048,Missedpickup,App,High,2024-11-27 06:49:00,Resolved,12,61.85,2024-11
CP0215,C0533,O00927,Supportexperience,Chatbot,High,2025-05-17 03:53:00,Resolved,15,29.11,2025-05
CP0216,C0084,O00644,Delay,App,Medium,2025-11-04 08:47:00,Resolved,4,32.45,2025-11
CP0217,C0571,O00941,Driverbehaviour,Phone,Medium,2024-08-18 12:54:00,Resolved,1,6.19,2024-08
CP0218,C0171,O01039,Missedpickup,App,Medium,2025-05-13 10:43:00,Resolved,7,19.7,2025-05
CP0219,C0232,O00540,Delay,Phone,Medium,2024-07-03 03:50:00,Resolved,6,22.23,2024-07
CP0220,C0097,O00254,Appissue,Email,Low,2024-09-25 17:01:00,Awaitingcustomer,1,8.94,2024-09
CP0221,C0032,O01034,Delay,Email,Low,2025-06-24 08:43:00,Resolved,11,8.34,2025-06
CP0222,C0282,O00751,Delay,Email,Low,2024-07-01 00:51:00,Resolved,4,4.39,2024-07
CP0223,C0529,O01136,Delay,App,Low,2024-04-25 14:05:00,Resolved,6,2.44,2024-04
CP0224,C0564,O00950,Delay,Chatbot,Low,2025-05-22 02:25:00,Resolved,14,25.81,2025-05
CP0225,C0531,O00082,Missedpickup,Phone,Medium,2024-07-30 03:44:00,Open,11,20.66,2024-07
CP0226,C0292,O01129,Delay,Chatbot,Low,2025-03-26 15:04:00,Resolved,1,6.68,2025-03
CP0227,C0026,O00621,Driverbehaviour,Phone,Medium,2025-05-17 19:01:00,Resolved,8,9.16,2025-05
CP0228,C0242,O00920,Delay,Email,Medium,2024-08-02 11:42:00,Open,8,8.1,2024-08
CP0229,C0272,O00541,Missedpickup,Chatbot,Low,2024-11-11 02:46:00,Escalated,11,4.1,2024-11
CP0230,C0054,O00445,Appissue,App,Low,2025-04-26 22:53:00,Open,12,0.0,2025-04
CP0231,C0639,O00774,Missedpickup,Phone,Low,2025-09-22 23:01:00,Open,1,20.06,2025-09
CP0232,C0539,O00520,Delay,Email,Low,2024-07-12 13:21:00,Resolved,7,8.32,2024-07
CP0233,C0339,O00884,Missedpickup,Email,Medium,2024-04-24 01:52:00,Resolved,3,10.05,2024-04
CP0234,C0140,O00720,Billing,App,High,2024-08-31 18:27:00,Resolved,16,52.03,2024-08
CP0235,C0611,O00632,Delay,Chatbot,Medium,2024-08-09 21:40:00,Resolved,3,32.8,2024-08
CP0236,C0029,O00430,Appissue,Phone,Medium,2025-01-17 01:45:00,Resolved,11,7.71,2025-01
CP0237,C0508,O01171,Driverbehaviour,App,Medium,2024-12-21 00:50:00,Resolved,8,14.83,2024-12
CP0238,C0014,O00731,Missedpickup,Phone,Medium,2024-03-14 19:38:00,Open,3,36.85,2024-03
CP0239,C0213,O00931,Missedpickup,App,High,2024-03-11 09:00:00,Resolved,20,27.41,2024-03
CP0240,C0428,O00220,Driverbehaviour,Chatbot,Medium,2024-05-31 08:24:00,Open,7,0.0,2024-05
CP0241,C0351,O00989,Delay,Phone,High,2024-03-17 12:01:00,Resolved,14,42.27,2024-03
CP0242,C0345,O01211,Appissue,Chatbot,Low,2025-11-18 07:13:00,Open,7,2.97,2025-11
CP0243,C0390,O00736,Driverbehaviour,Chatbot,Medium,2024-01-26 22:33:00,Escalated,3,23.87,2024-01
CP0244,C0575,O01168,Missedpickup,Chatbot,Low,2024-12-21 21:12:00,Open,1,6.72,2024-12
CP0245,C0646,O00385,Appissue,Phone,High,2025-11-02 15:32:00,Resolved,17,16.36,2025-11
CP0246,C0343,O00307,Driverbehaviour,Email,Medium,2025-01-04 22:15:00,Resolved,3,15.88,2025-01
CP0247,C0269,O00573,Appissue,Email,Medium,2024-04-30 09:36:00,Resolved,3,14.92,2024-04
CP0248,C0452,O00116,Billing,Phone,Low,2025-03-16 15:46:00,Open,5,1.45,2025-03
CP0249,C0074,O00824,Driverbehaviour,Email,Low,2024-08-21 20:47:00,Open,5,10.32,2024-08
CP0250,C0626,O00948,Delay,Email,Medium,2025-05-17 03:07:00,Escalated,1,0.0,2025-05
CP0251,C0399,O00169,Delay,Chatbot,Low,2025-12-04 12:34:00,Resolved,4,0.0,2025-12
CP0252,C0142,O00795,Missedpickup,Email,High,2025-06-19 13:49:00,Resolved,13,42.64,2025-06
CP0253,C0567,O00012,Appissue,App,Medium,2024-01-25 12:45:00,Resolved,13,22.73,2024-01
